id,kind,junction,direction,reverseRoad,fromRoadNo,fromNode,toRoadNo,toNode,startJunction,endJunction
1,main,,-1,,,,,,OW,IW
2,main,,-1,,,,,,IE,OE
3,main,,-1,,,,,,ON,IN
4,main,,-1,,,,,,IS,OS
5,main,,-1,,,,,,IW,C
6,main,,-1,,,,,,C,IE
7,main,,-1,,,,,,IN,C
8,main,,-1,,,,,,C,IS
9,main,,-1,,,,,,IW,IN
10,main,,-1,,,,,,IN,IE
11,main,,-1,,,,,,IE,IS
12,main,,-1,,,,,,IS,IW
13,main,,-1,,,,,,OW,ON
14,main,,-1,,,,,,ON,OE
15,main,,-1,,,,,,OE,OS
16,main,,-1,,,,,,OS,OW
17,turn,C,0,18,5,1,7,1,,
18,turn,C,1,17,7,1,5,1,,
19,turn,C,0,20,7,1,6,0,,
20,turn,C,1,19,6,0,7,1,,
21,turn,C,0,22,6,0,8,0,,
22,turn,C,1,21,8,0,6,0,,
23,turn,C,0,24,8,0,5,1,,
24,turn,C,1,23,5,1,8,0,,
25,turn,IW,0,26,1,1,9,0,,
26,turn,IW,1,25,9,0,1,1,,
27,turn,IW,0,28,9,0,5,0,,
28,turn,IW,1,27,5,0,9,0,,
29,turn,IW,0,30,5,0,12,1,,
30,turn,IW,1,29,12,1,5,0,,
31,turn,IW,0,32,12,1,1,1,,
32,turn,IW,1,31,1,1,12,1,,
33,turn,IN,0,34,9,1,3,1,,
34,turn,IN,1,33,3,1,9,1,,
35,turn,IN,0,36,3,1,10,0,,
36,turn,IN,1,35,10,0,3,1,,
37,turn,IN,0,38,10,0,7,0,,
38,turn,IN,1,37,7,0,10,0,,
39,turn,IN,0,40,7,0,9,1,,
40,turn,IN,1,39,9,1,7,0,,
41,turn,IE,0,42,6,1,10,1,,
42,turn,IE,1,41,10,1,6,1,,
43,turn,IE,0,44,10,1,2,0,,
44,turn,IE,1,43,2,0,10,1,,
45,turn,IE,0,46,2,0,11,0,,
46,turn,IE,1,45,11,0,2,0,,
47,turn,IE,0,48,11,0,6,1,,
48,turn,IE,1,47,6,1,11,0,,
49,turn,IS,0,50,12,0,8,1,,
50,turn,IS,1,49,8,1,12,0,,
51,turn,IS,0,52,8,1,11,1,,
52,turn,IS,1,51,11,1,8,1,,
53,turn,IS,0,54,11,1,4,0,,
54,turn,IS,1,53,4,0,11,1,,
55,turn,IS,0,56,4,0,12,0,,
56,turn,IS,1,55,12,0,4,0,,
57,turn,OW,0,58,13,0,1,0,,
58,turn,OW,1,57,1,0,13,0,,
59,turn,OW,0,60,1,0,16,1,,
60,turn,OW,1,59,16,1,1,0,,
61,turn,ON,0,62,14,0,3,0,,
62,turn,ON,1,61,3,0,14,0,,
63,turn,ON,0,64,3,0,13,1,,
64,turn,ON,1,63,13,1,3,0,,
65,turn,OE,0,66,2,1,14,1,,
66,turn,OE,1,65,14,1,2,1,,
67,turn,OE,0,68,15,0,2,1,,
68,turn,OE,1,67,2,1,15,0,,
69,turn,OS,0,70,16,0,4,1,,
70,turn,OS,1,69,4,1,16,0,,
71,turn,OS,0,72,4,1,15,1,,
72,turn,OS,1,71,15,1,4,1,,
